Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,0.168230,0.352430,0.122676,0.136025,0.136025,186184410
2017-07-01,0.137327,0.168806,0.066209,0.104220,0.104220,47051788
2017-08-01,0.104245,0.295392,0.100020,0.271803,0.271803,144107830
2017-09-01,0.272326,0.308977,0.137394,0.246400,0.246400,115878708
2017-10-01,0.246144,0.278332,0.130652,0.154904,0.154904,89302460
2017-11-01,0.153747,0.206646,0.115952,0.159573,0.159573,91772230
2017-12-01,0.159462,0.461718,0.154044,0.412203,0.412203,446107980
2018-01-01,0.413187,0.980702,0.350937,0.517065,0.517065,1072204000
2018-02-01,0.519383,0.530553,0.231117,0.340086,0.340086,150907530
2018-03-01,0.339976,0.418654,0.156901,0.195289,0.195289,182791310
2018-04-01,0.195568,0.502423,0.174754,0.479718,0.479718,284035180
2018-05-01,0.480199,0.523011,0.246147,0.277734,0.277734,181248010
2018-06-01,0.277993,0.310229,0.187511,0.243023,0.243023,92991380
2018-07-01,0.242630,0.421837,0.236370,0.277121,0.277121,326172180
2018-08-01,0.276599,0.303835,0.156891,0.219598,0.219598,139015750
2018-09-01,0.218484,0.238454,0.131877,0.171174,0.171174,110183230
2018-10-01,0.170991,0.293587,0.155979,0.245735,0.245735,280176500
2018-11-01,0.245535,0.381115,0.125540,0.168052,0.168052,502420187
2018-12-01,0.168210,0.183725,0.122462,0.128429,0.128429,165274422
2019-01-01,0.128820,0.145372,0.109959,0.113711,0.113711,228845761
2019-02-01,0.113248,0.191211,0.101932,0.162880,0.162880,377764214
2019-03-01,0.163287,0.307466,0.160556,0.289596,0.289596,627913510
2019-04-01,0.287359,0.499337,0.261842,0.384420,0.384420,1686494255
2019-05-01,0.384470,0.426843,0.275710,0.348868,0.348868,1775506509
2019-06-01,0.348889,0.372539,0.275774,0.294920,0.294920,1351559119
2019-07-01,0.295181,0.345007,0.202265,0.247068,0.247068,889870228
2019-08-01,0.247084,0.247123,0.166261,0.177824,0.177824,819940400
2019-09-01,0.177724,0.221243,0.147999,0.172738,0.172738,917477424
2019-10-01,0.172696,0.264397,0.163564,0.234045,0.234045,1420778215
2019-11-01,0.233986,0.282319,0.192749,0.204476,0.204476,1764469932
2019-12-01,0.204713,0.204741,0.149395,0.181768,0.181768,1735762433
2020-01-01,0.181816,0.237217,0.180976,0.217673,0.217673,859445070
2020-01-17,0.217559,0.230306,0.214255,0.224320,0.224320,58497480
