Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,0.168230,0.175339,0.146197,0.171036,0.171036,4373940
2017-06-02,0.171186,0.171238,0.153540,0.156576,0.156576,3121920
2017-06-03,0.156534,0.185107,0.154692,0.166049,0.166049,4738010
2017-06-04,0.165980,0.352430,0.164857,0.285542,0.285542,27578300
2017-06-05,0.285023,0.329910,0.269752,0.291661,0.291661,14297400
2017-06-06,0.291649,0.306674,0.254038,0.260062,0.260062,10708800
2017-06-07,0.259213,0.280704,0.228324,0.238590,0.238590,11149700
2017-06-08,0.239285,0.256475,0.213869,0.223217,0.223217,8890730
2017-06-09,0.222104,0.239072,0.216599,0.225080,0.225080,5996870
2017-06-10,0.224807,0.232437,0.194228,0.197021,0.197021,8265660
2017-06-11,0.195443,0.205489,0.176550,0.182229,0.182229,6837190
2017-06-12,0.182321,0.212659,0.152264,0.182798,0.182798,7175260
2017-06-13,0.182940,0.201300,0.174497,0.194538,0.194538,5539180
2017-06-14,0.193745,0.197086,0.162635,0.169383,0.169383,3766080
2017-06-15,0.170145,0.218198,0.144954,0.215435,0.215435,6576040
2017-06-16,0.212512,0.246001,0.186373,0.232775,0.232775,12209000
2017-06-17,0.231731,0.231731,0.206255,0.208400,0.208400,5614210
2017-06-18,0.210064,0.212948,0.194808,0.197482,0.197482,2829350
2017-06-19,0.197917,0.202943,0.180147,0.181102,0.181102,5328250
2017-06-20,0.181185,0.197655,0.179581,0.191778,0.191778,3728710
2017-06-21,0.190874,0.196532,0.183393,0.187384,0.187384,3436530
2017-06-22,0.187434,0.187434,0.175794,0.178160,0.178160,2615650
2017-06-23,0.177803,0.204396,0.173222,0.198476,0.198476,3165000
2017-06-24,0.201123,0.203272,0.176831,0.186039,0.186039,2256800
2017-06-25,0.184799,0.188892,0.158606,0.170223,0.170223,2662640
2017-06-26,0.170003,0.176001,0.139237,0.151785,0.151785,3398570
2017-06-27,0.156799,0.160657,0.122676,0.152734,0.152734,3861500
2017-06-28,0.153965,0.175570,0.145584,0.173771,0.173771,2624600
2017-06-29,0.174455,0.174849,0.152339,0.154906,0.154906,1880280
2017-06-30,0.155257,0.157021,0.136025,0.136025,0.136025,1558240
2017-07-01,0.137327,0.142716,0.125658,0.130854,0.130854,1856100
2017-07-02,0.130978,0.132849,0.112970,0.124109,0.124109,3171200
2017-07-03,0.123965,0.133920,0.122968,0.128747,0.128747,2218720
2017-07-04,0.130143,0.139744,0.128315,0.131304,0.131304,1956940
2017-07-05,0.131036,0.132450,0.125043,0.128955,0.128955,1464870
2017-07-06,0.129022,0.130231,0.116971,0.121223,0.121223,1763210
2017-07-07,0.120991,0.123085,0.102212,0.107727,0.107727,1545740
2017-07-08,0.107888,0.109217,0.097161,0.105570,0.105570,1420600
2017-07-09,0.104821,0.110446,0.103561,0.106766,0.106766,1158370
2017-07-10,0.107231,0.112142,0.085872,0.089701,0.089701,1313930
2017-07-11,0.089364,0.095027,0.080146,0.088201,0.088201,1465010
2017-07-12,0.088000,0.102524,0.081807,0.101409,0.101409,1141360
2017-07-13,0.102564,0.103251,0.088281,0.091283,0.091283,900748
2017-07-14,0.091190,0.092632,0.082882,0.086166,0.086166,739315
2017-07-15,0.086559,0.086673,0.076320,0.078687,0.078687,554900
2017-07-16,0.078505,0.079295,0.066209,0.071781,0.071781,676056
2017-07-17,0.071688,0.089585,0.071585,0.088821,0.088821,736536
2017-07-18,0.088563,0.102722,0.084905,0.095676,0.095676,1126870
2017-07-19,0.096023,0.099194,0.079181,0.081988,0.081988,1404020
2017-07-20,0.082399,0.100526,0.082298,0.098187,0.098187,1164030
2017-07-21,0.099334,0.106447,0.096932,0.102899,0.102899,953786
2017-07-22,0.102672,0.134748,0.102672,0.134653,0.134653,1774790
2017-07-23,0.136293,0.138662,0.118182,0.129342,0.129342,1630410
2017-07-24,0.127953,0.168806,0.121486,0.144172,0.144172,4271920
2017-07-25,0.144234,0.158710,0.114821,0.117279,0.117279,3401390
2017-07-26,0.116916,0.121375,0.105376,0.121197,0.121197,1397260
2017-07-27,0.121414,0.124126,0.113375,0.114837,0.114837,1182110
2017-07-28,0.115428,0.115442,0.105185,0.107068,0.107068,1635930
2017-07-29,0.105650,0.108229,0.100309,0.108229,0.108229,762957
2017-07-30,0.108110,0.109277,0.100129,0.100651,0.100651,872950
2017-07-31,0.100739,0.104584,0.097958,0.104220,0.104220,1389760
2017-08-01,0.104245,0.128921,0.100020,0.120664,0.120664,2482780
2017-08-02,0.120649,0.131595,0.112906,0.116111,0.116111,1744330
2017-08-03,0.116627,0.140694,0.113685,0.140694,0.140694,2366370
2017-08-04,0.140756,0.150016,0.133684,0.139927,0.139927,3161290
2017-08-05,0.140526,0.167292,0.137340,0.159064,0.159064,2407170
2017-08-06,0.159102,0.174001,0.148619,0.167751,0.167751,3754110
2017-08-07,0.165905,0.192330,0.157654,0.170751,0.170751,4039340
2017-08-08,0.171663,0.184845,0.161222,0.170829,0.170829,3251710
2017-08-09,0.170796,0.173222,0.157708,0.161036,0.161036,2081780
2017-08-10,0.160163,0.215128,0.151108,0.199868,0.199868,8292790
2017-08-11,0.198731,0.246374,0.189232,0.229309,0.229309,14151000
2017-08-12,0.229814,0.231006,0.199048,0.209644,0.209644,6035220
2017-08-13,0.209953,0.214369,0.187256,0.212219,0.212219,4451430
2017-08-14,0.211863,0.219190,0.184978,0.197186,0.197186,4794070
2017-08-15,0.197602,0.197835,0.174689,0.194342,0.194342,3252610
2017-08-16,0.195755,0.218762,0.187434,0.218762,0.218762,3915400
2017-08-17,0.219996,0.295392,0.211332,0.252561,0.252561,25143200
2017-08-18,0.250854,0.250854,0.198555,0.215015,0.215015,6258620
2017-08-19,0.213276,0.224282,0.188087,0.212615,0.212615,3651390
2017-08-20,0.211430,0.211901,0.197134,0.206131,0.206131,2804550
2017-08-21,0.206389,0.207054,0.191274,0.195028,0.195028,2880320
2017-08-22,0.195342,0.198231,0.172232,0.189982,0.189982,2433270
2017-08-23,0.189461,0.206971,0.186309,0.198384,0.198384,2657560
2017-08-24,0.195281,0.207660,0.192801,0.205144,0.205144,2158190
2017-08-25,0.205792,0.228791,0.202964,0.204303,0.204303,2550250
2017-08-26,0.205165,0.208820,0.196753,0.203715,0.203715,2347060
2017-08-27,0.203652,0.211852,0.202451,0.210028,0.210028,2069570
2017-08-28,0.210025,0.236254,0.204585,0.227662,0.227662,3780050
2017-08-29,0.228124,0.247443,0.223189,0.246818,0.246818,5055580
2017-08-30,0.246734,0.253316,0.222700,0.237483,0.237483,3429980
2017-08-31,0.237641,0.285709,0.235414,0.271803,0.271803,6706840
2017-09-01,0.272326,0.308977,0.264262,0.292161,0.292161,9031140
2017-09-02,0.291993,0.292109,0.234706,0.244449,0.244449,4577840
2017-09-03,0.242396,0.271964,0.225316,0.241242,0.241242,3681780
2017-09-04,0.241998,0.241998,0.168628,0.201452,0.201452,5599610
2017-09-05,0.202195,0.225642,0.169230,0.218497,0.218497,3374360
2017-09-06,0.217845,0.234281,0.211744,0.225347,0.225347,3245920
2017-09-07,0.224084,0.249728,0.215910,0.247884,0.247884,3218150
