Date,Open,High,Low,Close,Adj Close,Volume
2015-05-18,0.006327,0.006857,0.005697,0.006809,0.006809,3547506
2015-05-25,0.006843,0.009179,0.006764,0.008290,0.008290,5284169
2015-06-01,0.008276,0.008295,0.007429,0.007874,0.007874,2322494
2015-06-08,0.007867,0.008239,0.007866,0.008147,0.008147,1431144
2015-06-15,0.008146,0.011320,0.008144,0.010314,0.010314,7225280
2015-06-22,0.010295,0.011582,0.010252,0.011467,0.011467,3048592
2015-06-29,0.011487,0.012017,0.009986,0.010022,0.010022,4021653
2015-07-06,0.010021,0.010196,0.008585,0.008614,0.008614,5454962
2015-07-13,0.008610,0.008728,0.007952,0.008091,0.008091,3625238
2015-07-20,0.008093,0.008162,0.007447,0.008115,0.008115,2109455
2015-07-27,0.008116,0.008602,0.008115,0.008230,0.008230,2133995
2015-08-03,0.008230,0.008823,0.007989,0.008808,0.008808,2578671
2015-08-10,0.008812,0.008905,0.008075,0.008315,0.008315,2146783
2015-08-17,0.008314,0.008361,0.007526,0.007552,0.007552,1924391
2015-08-24,0.007553,0.008052,0.007041,0.008050,0.008050,2726631
2015-08-31,0.008061,0.008092,0.007287,0.007891,0.007891,3371616
2015-09-07,0.007889,0.008538,0.007633,0.008532,0.008532,1082291
2015-09-14,0.008535,0.008645,0.007344,0.007637,0.007637,3199442
2015-09-21,0.007633,0.007634,0.006431,0.006536,0.006536,2995556
2015-09-28,0.006535,0.006573,0.005236,0.005236,0.005236,4184440
2015-10-05,0.005237,0.005477,0.004857,0.005182,0.005182,3160180
2015-10-12,0.005181,0.005468,0.004967,0.004979,0.004979,2238239
2015-10-19,0.004976,0.005083,0.004555,0.004556,0.004556,2042866
2015-10-26,0.004560,0.004918,0.004554,0.004901,0.004901,3491824
2015-11-02,0.004896,0.005860,0.004375,0.004647,0.004647,5605270
2015-11-09,0.004650,0.004723,0.004144,0.004165,0.004165,2418043
2015-11-16,0.004163,0.004293,0.004130,0.004267,0.004267,1685864
2015-11-23,0.004269,0.004435,0.004201,0.004299,0.004299,1703359
2015-11-30,0.004298,0.005368,0.004041,0.005344,0.005344,3700946
2015-12-07,0.005312,0.009071,0.005297,0.008779,0.008779,18394261
2015-12-14,0.008774,0.008780,0.006205,0.006235,0.006235,11011748
2015-12-21,0.006234,0.006514,0.005955,0.006343,0.006343,3616144
2015-12-28,0.006348,0.006442,0.005933,0.006017,0.006017,2218924
2016-01-04,0.006019,0.006090,0.005905,0.005956,0.005956,2228645
2016-01-11,0.005963,0.005970,0.005011,0.005266,0.005266,3091793
2016-01-18,0.005270,0.005416,0.005093,0.005219,0.005219,2815647
2016-01-25,0.005218,0.007001,0.005064,0.006399,0.006399,11172192
2016-02-01,0.006398,0.008666,0.006366,0.008338,0.008338,9123390
2016-02-08,0.008375,0.008639,0.007730,0.008590,0.008590,5794485
2016-02-15,0.008593,0.008660,0.007897,0.008100,0.008100,5855577
2016-02-22,0.008100,0.008100,0.007854,0.007889,0.007889,4281229
2016-02-29,0.007895,0.008220,0.007801,0.007860,0.007860,4808856
2016-03-07,0.007835,0.008993,0.007831,0.008635,0.008635,8217158
2016-03-14,0.008624,0.008628,0.007872,0.007960,0.007960,2036151
2016-03-21,0.007956,0.008345,0.007880,0.008029,0.008029,4153601
2016-03-28,0.008025,0.008032,0.007274,0.007503,0.007503,6946124
2016-04-04,0.007502,0.007516,0.005924,0.005937,0.005937,5677898
2016-04-11,0.005937,0.006605,0.005685,0.006499,0.006499,4815538
2016-04-18,0.006503,0.007536,0.006503,0.007251,0.007251,5578975
2016-04-25,0.007250,0.007308,0.006666,0.006791,0.006791,4226160
2016-05-02,0.006791,0.006803,0.006187,0.006404,0.006404,3409480
2016-05-09,0.006402,0.006407,0.006006,0.006061,0.006061,2651931
2016-05-16,0.006061,0.006098,0.005933,0.005936,0.005936,3248933
2016-05-23,0.005935,0.005965,0.005614,0.005662,0.005662,4968090
2016-05-30,0.005664,0.005882,0.005645,0.005796,0.005796,4552803
2016-06-06,0.005795,0.005885,0.005722,0.005852,0.005852,4808457
2016-06-13,0.005852,0.007577,0.005765,0.006813,0.006813,23531440
2016-06-20,0.006818,0.006893,0.005976,0.006400,0.006400,18047930
2016-06-27,0.006402,0.006956,0.006364,0.006607,0.006607,9429438
2016-07-04,0.006621,0.008447,0.006495,0.006674,0.006674,4617293
2016-07-11,0.006671,0.006690,0.006350,0.006538,0.006538,5268060
2016-07-18,0.006538,0.006564,0.006228,0.006286,0.006286,4047394
2016-07-25,0.006293,0.006297,0.005944,0.005945,0.005945,6934099
2016-08-01,0.005942,0.006560,0.005630,0.006178,0.006178,9256284
2016-08-08,0.006160,0.006221,0.005968,0.005994,0.005994,4849938
2016-08-15,0.005993,0.006199,0.005969,0.006052,0.006052,6339174
2016-08-22,0.006055,0.006097,0.005883,0.005963,0.005963,4904768
2016-08-29,0.005961,0.006140,0.005905,0.005954,0.005954,6367191
2016-09-05,0.005948,0.005966,0.005815,0.005842,0.005842,4806826
2016-09-12,0.005844,0.008765,0.005837,0.006853,0.006853,34754444
2016-09-19,0.006855,0.007986,0.006709,0.007855,0.007855,17480810
2016-09-26,0.007872,0.009240,0.007847,0.008165,0.008165,44296500
2016-10-03,0.008165,0.008241,0.007260,0.007543,0.007543,21538840
2016-10-10,0.007542,0.008960,0.007542,0.008078,0.008078,17412854
2016-10-17,0.008079,0.009454,0.008011,0.009454,0.009454,22203479
2016-10-24,0.009432,0.009485,0.007674,0.008014,0.008014,21195070
2016-10-31,0.008014,0.008277,0.007975,0.008193,0.008193,13703238
2016-11-07,0.008197,0.008258,0.007968,0.008257,0.008257,16910960
2016-11-14,0.008255,0.008308,0.007626,0.007651,0.007651,15327740
2016-11-21,0.007649,0.007651,0.006847,0.007074,0.007074,12652465
2016-11-28,0.007082,0.007114,0.006519,0.006527,0.006527,10144350
2016-12-05,0.006525,0.007162,0.006417,0.006744,0.006744,12557197
2016-12-12,0.006744,0.006809,0.006533,0.006574,0.006574,12058420
2016-12-19,0.006582,0.006582,0.006234,0.006444,0.006444,16791300
2016-12-26,0.006443,0.006702,0.006126,0.006368,0.006368,9592352
2017-01-02,0.006386,0.006656,0.006031,0.006233,0.006233,11413293
2017-01-09,0.006239,0.006925,0.006127,0.006726,0.006726,15810217
2017-01-16,0.006747,0.007160,0.006610,0.006713,0.006713,6181046
2017-01-23,0.006718,0.007073,0.006287,0.006402,0.006402,4279959
2017-01-30,0.006402,0.006642,0.006249,0.006442,0.006442,4790425
2017-02-06,0.006439,0.007833,0.006192,0.006269,0.006269,5266957
2017-02-13,0.006267,0.006352,0.005427,0.005878,0.005878,7227438
2017-02-20,0.005879,0.005949,0.005628,0.005671,0.005671,5071083
2017-02-27,0.005665,0.006497,0.005372,0.006129,0.006129,12897486
2017-03-06,0.006129,0.006776,0.005974,0.006255,0.006255,15916640
2017-03-13,0.006271,0.007396,0.005970,0.006912,0.006912,24064300
2017-03-20,0.006915,0.010825,0.006761,0.009545,0.009545,64716610
2017-03-27,0.009482,0.071441,0.009155,0.061159,0.061159,366592560
2017-04-03,0.060291,0.061594,0.027447,0.034020,0.034020,392016196
2017-04-10,0.034123,0.035574,0.032035,0.033462,0.033462,72445290
2017-04-17,0.033400,0.034060,0.027493,0.031278,0.031278,98062040
2017-04-24,0.031236,0.057719,0.030739,0.051607,0.051607,285840550
2017-05-01,0.051580,0.148274,0.049317,0.141763,0.141763,813640992
2017-05-08,0.141620,0.237587,0.134406,0.220223,0.220223,1169572008
2017-05-15,0.220069,0.435170,0.220069,0.336201,0.336201,2010874024
2017-05-22,0.338403,0.357358,0.162345,0.229554,0.229554,1454442008
2017-05-29,0.227189,0.336797,0.193839,0.299413,0.299413,1531422304
2017-06-05,0.299862,0.302394,0.257879,0.272759,0.272759,833913504
2017-06-12,0.273075,0.307854,0.240868,0.284600,0.284600,1327135400
2017-06-19,0.283977,0.339533,0.280233,0.298423,0.298423,2161384992
2017-06-26,0.298770,0.301980,0.250944,0.259449,0.259449,858544800
2017-07-03,0.258977,0.262354,0.221769,0.233416,0.233416,529255596
2017-07-10,0.234067,0.234067,0.119770,0.148056,0.148056,1247315616
2017-07-17,0.150146,0.204121,0.141425,0.195058,0.195058,1323913784
2017-07-24,0.194979,0.195279,0.155475,0.165082,0.165082,530768008
2017-07-31,0.165050,0.189486,0.162002,0.180444,0.180444,495752800
2017-08-07,0.179716,0.194391,0.162625,0.168092,0.168092,613536300
2017-08-14,0.168376,0.180054,0.152305,0.158735,0.158735,651150508
2017-08-21,0.158410,0.297662,0.154856,0.202995,0.202995,5892465120
2017-08-28,0.203425,0.261038,0.196610,0.228811,0.228811,2226027968
2017-09-04,0.228781,0.228781,0.190232,0.213031,0.213031,1068231476
2017-09-11,0.212513,0.220623,0.150973,0.178393,0.178393,913932820
